Home_Team,Away_Team,Home_Score,Away_Score,Home_Margin,Home_Team_Win,prediction,Seconds_Left,p_lose,p_win
Duke,North Carolina St.,0,0,0,0,1,2354,0.3173919,0.6826081
Duke,North Carolina St.,0,0,0,0,1,2363,0.3173919,0.6826081
Duke,North Carolina St.,0,2,-2,0,1,2351,0.44755468,0.5524453
Duke,North Carolina St.,3,4,-1,0,1,2265,0.40868658,0.5913134
Duke,North Carolina St.,5,4,1,0,1,2236,0.31089327,0.6891067
Duke,North Carolina St.,5,6,-1,0,1,2236,0.4107469,0.5892531
Duke,North Carolina St.,5,6,-1,0,1,2236,0.4107469,0.5892531
Duke,North Carolina St.,9,6,3,0,1,2193,0.27065364,0.72934633
Duke,North Carolina St.,9,8,1,0,1,2130,0.30517823,0.6948218
Duke,North Carolina St.,11,8,3,0,1,2084,0.27065364,0.72934633
Duke,North Carolina St.,11,8,3,0,1,2088,0.27065364,0.72934633
Duke,North Carolina St.,11,8,3,0,1,2097,0.27065364,0.72934633
Duke,North Carolina St.,14,11,3,0,1,2018,0.27210104,0.72789896
Duke,North Carolina St.,16,11,5,0,1,2001,0.24806632,0.7519337
Duke,North Carolina St.,16,11,5,0,1,2009,0.24806632,0.7519337
Duke,North Carolina St.,18,15,3,0,1,1952,0.27295896,0.727041
Duke,North Carolina St.,20,17,3,0,1,1907,0.27295896,0.727041
Duke,North Carolina St.,20,17,3,0,1,1907,0.27295896,0.727041
Duke,North Carolina St.,20,19,1,0,1,1853,0.31335905,0.686641
Duke,North Carolina St.,20,19,1,0,1,1853,0.31335905,0.686641
Duke,North Carolina St.,22,19,3,0,1,1775,0.25732648,0.7426735
Duke,North Carolina St.,22,19,3,0,1,1776,0.25732648,0.7426735
Duke,North Carolina St.,22,19,3,0,1,1798,0.25732648,0.7426735
Duke,North Carolina St.,25,19,6,0,1,1740,0.20158759,0.7984124
Duke,North Carolina St.,25,21,4,0,1,1692,0.26852772,0.73147225
Duke,North Carolina St.,25,21,4,0,1,1692,0.26852772,0.73147225
Duke,North Carolina St.,28,23,5,0,1,1657,0.2471047,0.7528953
Duke,North Carolina St.,28,25,3,0,1,1614,0.27012807,0.7298719
Duke,North Carolina St.,28,25,3,0,1,1614,0.27012807,0.7298719
Duke,North Carolina St.,29,25,4,0,1,1587,0.27012807,0.7298719
Duke,North Carolina St.,29,25,4,0,1,1591,0.27012807,0.7298719
Duke,North Carolina St.,29,25,4,0,1,1601,0.27012807,0.7298719
Duke,North Carolina St.,29,25,4,0,1,1614,0.27012807,0.7298719
Duke,North Carolina St.,32,25,7,0,1,1559,0.1521705,0.8478295
Duke,North Carolina St.,34,25,9,0,1,1545,0.12965594,0.87034404
Duke,North Carolina St.,35,28,7,0,1,1470,0.13774835,0.86225164
Duke,North Carolina St.,36,29,7,0,1,1426,0.13774835,0.86225164
Duke,North Carolina St.,40,32,8,0,1,1330,0.12517211,0.8748279
Duke,North Carolina St.,43,32,11,0,1,1261,0.06107545,0.93892455
Duke,North Carolina St.,44,32,12,0,1,1237,0.055867307,0.9441327
Duke,North Carolina St.,44,32,12,0,1,1237,0.055867307,0.9441327
Duke,North Carolina St.,44,34,10,0,1,1227,0.06596245,0.93403757
Duke,North Carolina St.,44,35,9,0,1,1227,0.10902581,0.89097416
Duke,North Carolina St.,44,38,6,0,1,1201,0.15401797,0.845982
Duke,North Carolina St.,46,38,8,0,1,1186,0.10137499,0.898625
Duke,North Carolina St.,46,38,8,0,1,1186,0.10137499,0.898625
Duke,North Carolina St.,46,40,6,0,1,1168,0.14131656,0.8586834
Duke,North Carolina St.,46,40,6,0,1,1168,0.14131656,0.8586834
Duke,North Carolina St.,48,40,8,0,1,1084,0.09496233,0.9050377
Duke,North Carolina St.,48,44,4,0,1,1035,0.2167081,0.78329194
Duke,North Carolina St.,48,46,2,0,1,1001,0.27152437,0.72847563
Duke,North Carolina St.,48,49,-1,0,0,948,0.5070918,0.49290818
Duke,North Carolina St.,48,49,-1,0,0,948,0.5070918,0.49290818
Duke,North Carolina St.,48,49,-1,0,0,982,0.5070918,0.49290818
Duke,North Carolina St.,48,49,-1,0,0,986,0.5070918,0.49290818
Duke,North Carolina St.,49,51,-2,0,0,922,0.59362984,0.40637016
Duke,North Carolina St.,52,51,1,0,1,822,0.31715277,0.6828472
Duke,North Carolina St.,53,52,1,0,1,814,0.33823535,0.6617646
Duke,North Carolina St.,56,52,4,0,1,768,0.23814036,0.76185966
Duke,North Carolina St.,56,54,2,0,1,714,0.28619602,0.71380395
Duke,North Carolina St.,56,54,2,0,1,737,0.28619602,0.71380395
Duke,North Carolina St.,56,54,2,0,1,737,0.28619602,0.71380395
Duke,North Carolina St.,56,56,0,0,1,696,0.34372407,0.6562759
Duke,North Carolina St.,59,56,3,0,1,680,0.26126412,0.73873585
Duke,North Carolina St.,61,56,5,0,1,662,0.20768134,0.79231864
Duke,North Carolina St.,63,56,7,0,1,631,0.09226799,0.907732
Duke,North Carolina St.,64,57,7,0,1,520,0.09226799,0.907732
Duke,North Carolina St.,64,57,7,0,1,520,0.09226799,0.907732
Duke,North Carolina St.,64,57,7,0,1,523,0.09226799,0.907732
Duke,North Carolina St.,64,57,7,0,1,579,0.09226799,0.907732
Duke,North Carolina St.,64,57,7,0,1,588,0.09226799,0.907732
Duke,North Carolina St.,64,57,7,0,1,590,0.09226799,0.907732
Duke,North Carolina St.,64,57,7,0,1,614,0.09226799,0.907732
Duke,North Carolina St.,64,59,5,0,1,487,0.1754488,0.8245512
Duke,North Carolina St.,64,59,5,0,1,518,0.1754488,0.8245512
Duke,North Carolina St.,66,59,7,0,1,415,0.039970722,0.9600293
Duke,North Carolina St.,68,61,7,0,1,359,0.04130834,0.95869166
Duke,North Carolina St.,68,61,7,0,1,359,0.04130834,0.95869166
Duke,North Carolina St.,68,62,6,0,1,350,0.047574222,0.9524258
Duke,North Carolina St.,70,63,7,0,1,278,0.05461459,0.9453854
Duke,North Carolina St.,70,63,7,0,1,294,0.056707922,0.9432921
Duke,North Carolina St.,70,69,1,0,1,196,0.27636257,0.72363746
Duke,North Carolina St.,70,69,1,0,1,196,0.27636257,0.72363746
Duke,North Carolina St.,70,69,1,0,1,214,0.27636257,0.72363746
Duke,North Carolina St.,73,72,1,0,1,167,0.28623143,0.71376854
Duke,North Carolina St.,73,79,-6,0,0,72,0.9260213,0.0739787
Duke,North Carolina St.,73,79,-6,0,0,79,0.9260213,0.0739787
Duke,North Carolina St.,74,79,-5,0,0,45,0.91916496,0.08083502
Duke,North Carolina St.,75,79,-4,0,0,45,0.905138,0.09486197
Duke,North Carolina St.,77,79,-2,0,0,30,0.7704734,0.22952656
Duke,North Carolina St.,79,83,-4,0,0,8,0.9091148,0.090885215
Duke,North Carolina St.,79,83,-4,0,0,15,0.9091148,0.090885215
Duke,North Carolina St.,79,83,-4,0,0,17,0.9091148,0.090885215
Duke,North Carolina St.,81,83,-2,0,0,6,0.7744502,0.2255498
Duke,North Carolina St.,82,84,-2,0,0,0,0.74330306,0.2566969
Duke,North Carolina St.,82,84,-2,0,0,1,0.74330306,0.2566969
Duke,North Carolina St.,82,84,-2,0,0,5,0.74330306,0.2566969